dates,vader_label,textblob_label
2017-01-02,0.0,0.0
2017-01-03,2.0,2.0
2017-01-04,2.0,2.0
2017-01-05,0.0,2.0
2017-01-06,2.0,2.0
2017-01-09,2.0,2.0
2017-01-10,2.0,2.0
2017-01-11,2.0,2.0
2017-01-12,2.0,2.0
2017-01-13,2.0,2.0
2017-01-16,2.0,1.0
2017-01-17,2.0,2.0
2017-01-18,2.0,2.0
2017-01-19,2.0,2.0
2017-01-20,0.0,2.0
2017-01-23,2.0,2.0
2017-01-24,2.0,2.0
2017-01-25,2.0,2.0
2017-01-26,2.0,2.0
2017-01-27,2.0,2.0
2017-01-30,0.0,0.0
2017-01-31,0.0,0.0
2017-02-01,2.0,2.0
2017-02-02,2.0,2.0
2017-02-03,2.0,2.0
2017-02-06,2.0,2.0
2017-02-07,2.0,2.0
2017-02-08,2.0,1.0
2017-02-09,2.0,0.0
2017-02-10,2.0,2.0
2017-02-13,2.0,2.0
2017-02-14,2.0,2.0
2017-02-15,2.0,2.0
2017-02-16,2.0,1.0
2017-02-17,2.0,2.0
2017-02-20,2.0,2.0
2017-02-21,2.0,2.0
2017-02-22,2.0,2.0
2017-02-23,2.0,2.0
2017-02-24,2.0,2.0
2017-02-27,2.0,2.0
2017-02-28,2.0,2.0
2017-03-01,2.0,1.0
2017-03-02,2.0,2.0
2017-03-03,2.0,0.0
2017-03-06,2.0,2.0
2017-03-07,2.0,2.0
2017-03-08,2.0,2.0
2017-03-09,2.0,2.0
2017-03-10,2.0,2.0
2017-03-13,2.0,2.0
2017-03-14,2.0,2.0
2017-03-15,2.0,0.0
2017-03-16,2.0,2.0
2017-03-17,2.0,2.0
2017-03-20,2.0,2.0
2017-03-21,2.0,2.0
2017-03-22,1.0,1.0
2017-03-23,2.0,1.0
2017-03-24,2.0,2.0
2017-03-27,2.0,2.0
2017-03-28,2.0,2.0
2017-03-29,2.0,2.0
2017-03-30,2.0,2.0
2017-03-31,2.0,1.0
2017-04-03,2.0,2.0
2017-04-04,0.0,0.0
2017-04-05,2.0,2.0
2017-04-06,2.0,2.0
2017-04-07,2.0,2.0
2017-04-10,2.0,2.0
2017-04-11,2.0,2.0
2017-04-12,2.0,2.0
2017-04-13,2.0,2.0
2017-04-14,0.0,0.0
2017-04-17,0.0,0.0
2017-04-18,2.0,2.0
2017-04-19,2.0,2.0
2017-04-20,2.0,0.0
2017-04-21,2.0,2.0
2017-04-24,2.0,2.0
2017-04-25,2.0,2.0
2017-04-26,2.0,2.0
2017-04-27,2.0,1.0
2017-04-28,2.0,1.0
2017-05-01,0.0,0.0
2017-05-02,2.0,2.0
2017-05-03,0.0,0.0
2017-05-04,1.0,1.0
2017-05-05,2.0,2.0
2017-05-08,2.0,2.0
2017-05-09,2.0,2.0
2017-05-10,2.0,2.0
2017-05-11,0.0,2.0
2017-05-12,2.0,1.0
2017-05-15,2.0,2.0
2017-05-16,2.0,2.0
2017-05-17,2.0,2.0
2017-05-18,2.0,2.0
2017-05-19,2.0,2.0
2017-05-22,2.0,2.0
2017-05-23,2.0,2.0
2017-05-24,2.0,2.0
2017-05-25,0.0,2.0
2017-05-26,2.0,2.0
2017-05-29,2.0,2.0
2017-05-30,0.0,0.0
2017-05-31,2.0,1.0
2017-06-01,2.0,2.0
2017-06-02,2.0,2.0
2017-06-05,0.0,1.0
2017-06-06,2.0,2.0
2017-06-07,2.0,1.0
2017-06-08,2.0,2.0
2017-06-09,2.0,1.0
2017-06-12,2.0,2.0
2017-06-13,2.0,2.0
2017-06-14,2.0,2.0
2017-06-15,2.0,2.0
2017-06-16,2.0,2.0
2017-06-19,2.0,2.0
2017-06-20,2.0,2.0
2017-06-21,2.0,2.0
2017-06-22,2.0,2.0
2017-06-23,2.0,0.0
2017-06-26,2.0,2.0
2017-06-27,2.0,1.0
2017-06-28,2.0,2.0
2017-06-29,2.0,2.0
2017-06-30,2.0,2.0
2017-07-03,2.0,2.0
2017-07-04,2.0,2.0
2017-07-05,2.0,2.0
2017-07-06,2.0,2.0
2017-07-07,2.0,1.0
2017-07-10,2.0,1.0
2017-07-11,2.0,2.0
2017-07-12,2.0,2.0
2017-07-13,2.0,2.0
2017-07-14,2.0,2.0
2017-07-17,2.0,1.0
2017-07-18,2.0,0.0
2017-07-19,2.0,2.0
2017-07-20,2.0,0.0
2017-07-21,2.0,1.0
2017-07-24,2.0,1.0
2017-07-25,2.0,1.0
2017-07-26,2.0,2.0
2017-07-27,2.0,2.0
2017-07-28,2.0,0.0
2017-07-31,2.0,2.0
2017-08-01,2.0,1.0
2017-08-02,2.0,2.0
2017-08-03,2.0,2.0
2017-08-04,2.0,0.0
2017-08-07,2.0,2.0
2017-08-08,2.0,2.0
2017-08-09,2.0,2.0
2017-08-10,2.0,2.0
2017-08-11,2.0,0.0
2017-08-14,2.0,2.0
2017-08-15,2.0,1.0
2017-08-16,2.0,1.0
2017-08-17,2.0,1.0
2017-08-18,2.0,2.0
2017-08-21,2.0,2.0
2017-08-22,2.0,2.0
2017-08-23,2.0,1.0
2017-08-24,2.0,1.0
2017-08-25,2.0,2.0
2017-08-28,2.0,1.0
2017-08-29,2.0,1.0
2017-08-30,2.0,1.0
2017-08-31,2.0,1.0
2017-09-01,1.0,2.0
2017-09-04,2.0,2.0
2017-09-05,2.0,2.0
2017-09-06,2.0,2.0
2017-09-07,2.0,2.0
2017-09-08,0.0,2.0
2017-09-11,2.0,2.0
2017-09-12,2.0,2.0
2017-09-13,2.0,2.0
2017-09-14,2.0,2.0
2017-09-15,2.0,2.0
2017-09-18,1.0,2.0
2017-09-19,2.0,2.0
2017-09-20,2.0,2.0
2017-09-21,2.0,2.0
2017-09-22,2.0,2.0
2017-09-25,2.0,2.0
2017-09-26,2.0,2.0
2017-09-27,2.0,2.0
2017-09-28,2.0,2.0
2017-09-29,2.0,2.0
2017-10-02,0.0,0.0
2017-10-03,2.0,2.0
2017-10-04,2.0,2.0
2017-10-05,0.0,0.0
2017-10-06,2.0,2.0
2017-10-09,0.0,2.0
2017-10-10,2.0,1.0
2017-10-11,2.0,2.0
2017-10-12,2.0,2.0
2017-10-13,2.0,2.0
2017-10-16,2.0,2.0
2017-10-17,2.0,2.0
2017-10-18,2.0,2.0
2017-10-19,2.0,2.0
2017-10-20,2.0,1.0
2017-10-23,2.0,1.0
2017-10-24,2.0,2.0
2017-10-25,2.0,2.0
2017-10-26,2.0,2.0
2017-10-27,2.0,0.0
2017-10-30,2.0,2.0
2017-10-31,2.0,2.0
